,S1,S2,TMS,S1 Delay,S2 Delay,TMS Delay,Rate,Reps,Width,S1DP,S2DP,TMSDP,Scale,WinStart,WinEnd,Threshold
APB M,Y,N,N,0,0,0,7,4,200,N,N,N,1,15,100,5
APB F,Y,N,N,0,0,0,2,20,200,N,N,N,0.5,115,220,0.05
ADM M,Y,N,N,0,0,0,7,4,200,N,N,N,1,15,100,5
ADM F,Y,N,N,0,0,0,2,20,200,N,N,N,0.5,115,220,0.05
FDI M,Y,N,N,0,0,0,7,4,200,N,N,N,3,15,100,5
FCR M,Y,N,N,0,0,0,7,4,200,N,N,N,2,15,100,5
FCR H,Y,N,N,0,0,0,7,4,200,N,N,N,2,115,220,5
FDI F,Y,N,N,0,0,0,2,25,200,N,N,N,0.5,115,220,0.05
TMS RMT,N,N,Y,0,0,0,5,10,200,N,N,N,0.2,100,300,0.05
MEP,N,N,Y,0,0,0,5,10,200,N,N,N,0.2,100,300,0.05
CSP,N,N,Y,0,0,0,0,5,200,N,N,N,0.2,115,220,0.05
CES RMT,Y,Y,N,0,1,0,5,10,1000,N,N,N,0.2,85,200,0.05
CES,Y,Y,N,0,1,0,5,6,1000,N,N,N,0.2,85,200,0.05
AC-BI-2,Y,Y,N,0,1,0,5,6,1000,N,N,N,1,85,200,5
CA-SW-2,Y,N,N,0,0,0,5,6,2000,N,N,N,1,85,200,5
CA-BI-2,Y,Y,N,0,1,0,5,6,1000,N,N,N,1,85,200,5
CA-SW-1,Y,N,N,0,0,0,5,6,1000,N,N,N,1,85,200,5
CA-BI-1,Y,Y,N,0,0.5,0,5,6,500,N,N,N,1,85,200,5
DP,Y,Y,N,0,1,0,5,6,1000,Y,Y,N,1,85,200,5
STDP,N,N,N,0,0,0,10,120,999,N,N,N,3,85,200,5
HOTSPOT,N,N,Y,0,0,0,5,8,200,N,N,N,0.2,100,300,0.05
Other,Y,N,N,0,0,0,7,4,200,N,N,N,0.5,85,200,5
